Category,Match_Score
CONSULTANT,38.800259720464865
ENGINEERING,34.507710880922865
AUTOMOBILE,26.539132729893232
AGRICULTURE,23.823278127458206
DIGITAL-MEDIA,21.246280961902645
CONSULTANT,19.919988827382515
INFORMATION-TECHNOLOGY,19.840807328464372
SALES,19.769240719866772
SALES,19.637379382523267
INFORMATION-TECHNOLOGY,17.079615296774975
